#,NEW Accession Number ,Old Accession Number (only If changed),Collection Location,PHOTO,KEEP / REMOVE,REASON REMOVED,SAP Asset Tag #,ARTIST FIRST NAME,ARTIST LAST NAME,ARTWORK TITLE,Category ,TYPE,MEDIA,DIMENSIONS,Client Department,ARTWORK DESCRIPTION,NOTES,YEAR COMPLETED,YEAR ACQUIRED,FUNDING TYPE,DONOR / AQUIRED FROM,PROJECT IN GROUP LOCATION?, LOCATION,ARTWORK ADDRESS,ZIP CODE,X COORDINATES,Y COORDINATES,INTERIOR/EXTERIOR,COUNCIL DISTRICT,HISTORIC DISTRICT?,INSTALLATION VENUE,City Insured,PO NUMBER (FOR CEE),BUDGET,Insurance Value,YEAR VALUE WAS GIVEN,CAPITOL IMPROVEMENT PROJECT,PASA COMMISSION,Design Team Consultant,General Contractors / Artist Subcontractors 
130,Kedwards_GaiaoftheFight,,Loan,Yes,,Loan ended ,,Kwanzaa,Edwards,Gaia of the Fight,,,"Ink, acrylic on wood",24 x 24 in. ,Arts & Culture,"Ink, acrylic on wood24 x 24 in. ",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,2000.0,2022.0,,,,
131,Picquet1_EarthDreamEternas,,Loan,Yes,,Loan ended ,,Wardell,Picquet,Earth Dream Eternas,,,Mixed media/Collage,"16"" x 20""",Arts & Culture,"Mixed media/Collage16"" x 20""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1500.0,2022.0,,,,
132,Picquet2_EarthDreamPerpetuan,,Loan,Yes,,Loan ended ,,Wardell,Picquet,Earth Dream Perpetuan,,,Mixed media/Collage,"16"" x 20""",Arts & Culture,"Mixed media/Collage16"" x 20""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1500.0,2022.0,,,,
133,Picquet3_EarthDreamSubstantia,,Loan,Yes,,Loan ended ,,Wardell,Picquet,Earth Dream Substantia,,,Mixed media/Collage,"16"" x 20""",Arts & Culture,"Mixed media/Collage16"" x 20""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1500.0,2022.0,,,,
134,Pressley_ContemplatingFlight_61x84,,Loan,Yes,,Loan ended ,,Calvin,Pressley,Contemplating Flight,,,Oil on Canvas,60 x 84.5 in. ,Arts & Culture,Oil on Canvas60 x 84.5 in. ,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,13000.0,2022.0,,,,
135,Stewart - Brain What Are you Thinking,,Loan,Yes,,Loan ended ,,Don,Stewart,Brain what are you thinking?,,,Acrylic on canvas,20 x 16 in.,Arts & Culture,Acrylic on canvas20 x 16 in.,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,500.0,2022.0,,,,
136,Stewart-Now,,Loan,Yes,,Loan ended ,,Don,Stewart,Now,,,Acrylic on canvas,16 x 20 in. ,Arts & Culture,Acrylic on canvas16 x 20 in. ,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,500.0,2022.0,,,,
137,Stewart-Serenity,,Loan,Yes,,Loan ended ,,Don,Stewart,Serenity,,,Acrylic on canvas,20 x 16 in.,Arts & Culture,Acrylic on canvas20 x 16 in.,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,500.0,2022.0,,,,
138,TNewsome1_It'sRaining,,Loan,Yes,,Loan ended ,,Theresa,Newsome,It's raining...would you like to get something to eat?,,,Photography - Silver Gelatin Prints,"18"" x 24"" (framed)",Arts & Culture,"Photography - Silver Gelatin Prints18"" x 24"" (framed)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1000.0,2022.0,,,,
139,TNewsome2_IWasWaiting.,,Loan,Yes,,Loan ended ,,Theresa,Newsome,I was waiting.,,,Photography - Silver Gelatin Prints,"11""x14"" (16x20 framed)",Arts & Culture,"Photography - Silver Gelatin Prints11""x14"" (16x20 framed)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,500.0,2022.0,,,,
140,TNewsome3_OurBlackMen,,Loan,Yes,,Loan ended ,,Theresa,Newsome,90% of our black men,,,Photography - Archival Pigment Print,"11""x14"" (16x20 framed)",Arts & Culture,"Photography - Archival Pigment Print11""x14"" (16x20 framed)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,500.0,2022.0,,,,
141,Wanjiku_Proposed Display 1,,Loan,Yes,,Loan ended ,,Naomi,Wanjiku,Voices of Africa,,,"Hand painted fabrics, Yarns, Galvanized steel wire, Stainless steel wire, Beads","69"" x 72""",Arts & Culture,"Hand painted fabrics, Yarns, Galvanized steel wire, Stainless steel wire, Beads69"" x 72""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,18000.0,2022.0,,,,
142,Wanjiku_Proposed Display 2,,Loan,Yes,,Loan ended ,,Naomi,Wanjiku,Emerging Voices ,,,"Hand painted fabrics, Yarns, Galvanized steel wire, Stainless steel wire, Beads","62"" x 72""",Arts & Culture,"Hand painted fabrics, Yarns, Galvanized steel wire, Stainless steel wire, Beads62"" x 72""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,18000.0,2022.0,,,,
143,Williams_Blanton Collection Loan,,Loan,Yes,,Loan ended ,,Bernice Appelin,Williams,"""Slave Narratives: Transbluency #5"" (Commissioned work from Crutches Series)",,,Assemblage (crutches...),60 x 27 in. ,Arts & Culture,Assemblage (crutches...)60 x 27 in. ,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,7500.0,2022.0,,,,
144,Williams_SAALM_Loan,,Loan,Yes,,Loan ended ,,Bernice Appelin,Williams,The Crutch Series,,,Assemblage,60 x 27 in. ,Arts & Culture,Assemblage60 x 27 in. ,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1500.0,2022.0,,,,
145,L.2019.SEB.10,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,(Blue Horizontal Figure),,Sculpture,painted iron,174 x 60 x 51 in.,Arts & Culture,,loan extended through 9/30/2021,1980.0,2019,Loan,On loan from Sebastiàn,,SA International Airport,"9800 Airport Blvd, San Antonio, TX ",78216.0,,,,,,Indoor - Display,Yes,,,200000.0,,,,,
146,L.2019.SEB.11,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Cancer,,Sculpture,painted iron,2 pieces - 39.3 x 96.4 x 88.5 in.,Arts & Culture,,loan extended through 9/30/2021,1981.0,2019,Loan,On loan from Sebastiàn,,SA International Airport,"9800 Airport Blvd, San Antonio, TX ",78216.0,,,,,,Indoor - Display,Yes,,,110000.0,,,,,
147,L.2019.SEB.12,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Espejo Cosmico,,Sculpture,painted iron,82.6 x 37.7 x 27.9  in.,Arts & Culture,,loan extended through 9/30/2021,2006.0,2019,Loan,On loan from Sebastiàn,,SA International Airport,"9800 Airport Blvd, San Antonio, TX ",78216.0,,,,,,Indoor - Display,Yes,,,98500.0,,,,,
148,L.2019.SEB.13,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Protocolo,,Sculpture,painted iron,81.8 x 39.3 x 47.2  in.,Arts & Culture,,loan extended through 9/30/2021,1997.0,2019,Loan,On loan from Sebastiàn,,SA International Airport,"9800 Airport Blvd, San Antonio, TX ",78216.0,,,,,,Indoor - Display,Yes,,,93600.0,,,,,
149,L.2019.SEB.2,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Celosia Borunda,,Sculpture,painted iron,96 x 61.4 x 19.6 in,Arts & Culture,,loan extended through 9/30/2021,2008.0,2019,Loan,On loan from Sebastiàn,,River Walk Public Art Garden,"S. Alamo Street between E. Market & E. Commerce Streets San Antonio, TX ",78205.0,,,,,,Outdoor - Display,Yes,,,109800.0,,,,,
150,L.2019.SEB.3,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Cuántica Octagonal Aurea,,Sculpture,painted iron,62.5 x 51.1 x 51.1 in,Arts & Culture,,loan extended through 9/30/2021,2013.0,2019,Loan,On loan from Sebastiàn,,River Walk Public Art Garden,"S. Alamo Street between E. Market & E. Commerce Streets San Antonio, TX ",78205.0,,,,,,Outdoor - Display,Yes,,,67550.0,,,,,
151,L.2019.SEB.4,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Pocycereus,,Sculpture,painted iron,114.9 x 28.3 x 51 in.,Arts & Culture,,loan extended through 9/30/2021,1984.0,2019,Loan,On loan from Sebastiàn,,River Walk Public Art Garden,"S. Alamo Street between E. Market & E. Commerce Streets San Antonio, TX ",78205.0,,,,,,Outdoor - Display,Yes,,,130000.0,,,,,
152,L.2019.SEB.5,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Lipchitziana,,Sculpture,painted iron,96 x 48 x 28 in.,Arts & Culture,,loan extended through 9/30/2021,1994.0,2019,Loan,On loan from Sebastiàn,,River Walk Public Art Garden,"S. Alamo Street between E. Market & E. Commerce Streets San Antonio, TX ",78205.0,,,,,,Outdoor - Display,Yes,,,108000.0,,,,,
153,L.2019.SEB.1,,Loan,Yes,,Loan ended ,,Enrique (Sebastiàn),Carbajal,Nudo Torusado,,Sculpture,painted iron,72 x 62.9 x 38.5 in.,Arts & Culture,,loan extended through 9/30/2021,2014.0,2019,Loan,On loan from Sebastiàn,,River Walk Public Art Garden,"S. Alamo Street between E. Market & E. Commerce Streets San Antonio, TX  ",78205.0,,,,,,Outdoor - Display,Yes,,,110350.0,,,,,
154,2018.GON.1.2-3,,Public Art - Exterior,,,Inventory line item was consolidated  in single project line item.,,Michael & Suzy,Menchaca & Gonzalez,ConRac Exterior Façade ,Two Dimensional,Mural,Fabric mesh,,Aviation,Murals representing golden eagle and Boeing 737 hybrid.,2 Exterior Murals ,2018.0,2018,Non-Bond (Aviation),,,"SAT Airport, CONRAC",9559 Airport Boulevard ,78261.0,-98.472583,29.526583,,9,No,Outdoor - Display,Yes,,80000.0,80000.0,,,Yes,,
155,2018.GON.1.1,,Public Art - Interior,,,Inventory line item was consolidated  in single project line item.,,Michael & Suzy,Menchaca & Gonzalez,¡Adelante San Antonio!,Two Dimensional,Mural,Fabric mesh,Approx. 500 linear feet,Aviation,Highlights San Antonio's past 300 years. Greetings in English and Spanish. ,Interior Mural ,2018.0,2018,Non-Bond (Aviation),,,"SAT Airport, CONRAC",9559 Airport Boulevard ,78261.0,-98.472583,29.526583,,9,No,Indoor - Display,Yes,,200000.0,200000.0,,,Yes,,
156,2010.BRI.1.1,,Public Art - Exterior,,,Inventory line item was consolidated  in single project line item.,,Rolando,Briseno ,"Gateways: The Four Directions, 2010",Two Dimensional,Mural,"Glass, Pigment",43 windows total,Aviation,"Along the window bays of the concourse is a colorful frieze of art glass depicting historic doorways and architectural portals found throughout San Antonio. The project includes 43 total window treatments, each a unique building façade in San Antonio.","""Portales: Las Cuatro Direcciones, 2010""- total commission budget was $100,000",2010.0,2010,Non-Bond (Aviation),,,"SAT Airport, Terminal B",9800 Airport Blvd. ,78216.0,-98.47285176199995,29.527138318000084,,9,No,Indoor - Restricted,Yes,,100000.0,100000.0,,,yes,3DI Architects,
157,2012.JEF.1.3,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Jefre,Figueras Manuel,Unity Plaza- Plaza Map of City,Three Dimensional ,Plaza,Mixed Media,,Building & Equipment Services,Mosaic stone tile map of city ,,2012.0,2012,Certicates of Obligation ,Alamo Area Fire and Police Memorial,,Public Safety Headquarters,315 South Santa Rosa Avenue ,78207.0,-98.49916,29.42294,,1,No,Condition issues,Yes,,250000.0,250000.0,,,yes,Kell Munoz,
158,2012.JEF.1.2,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Jefre,Figueras Manuel,Unity Plaza- SAFD Silhouette,Three Dimensional ,Sculpture,Steel,,Building & Equipment Services,Red Steel Shadow Sculpture depicting Fire Fighter,,2012.0,2012,Certicates of Obligation ,Alamo Area Fire and Police Memorial,,Public Safety Headquarters,315 South Santa Rosa Avenue ,78207.0,-98.49916,29.42294,,1,No,Outdoor - Display,Yes,,,75000.0,,,yes,Kell Munoz,
159,2012.JEF.1.1-4,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Jefre,Figueras Manuel,Unity Plaza- SAPD Silhouette,Three Dimensional ,Sculpture,Steel,,Building & Equipment Services,Blue Steel Shadow Sculpture depicting Police Officer,,2012.0,2012,Certicates of Obligation ,Alamo Area Fire and Police Memorial,,Public Safety Headquarters,315 South Santa Rosa Avenue ,78207.0,-98.49916,29.42294,,1,No,Outdoor - Display,Yes,,350000.0,300000.0,,,,,
160,2005.ALV.1.1-.2,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Oscar ,Alvarado,Deco District,Two Dimensional,Mural ,Mosaic ,Various,Building & Equipment Services,"Interior mural and building façade 
1. Interior mosaic mural depicting a flamingo, water and foliage, surrounding a seating area.
2 exterior mosaic tile mural façade treatment; interior wall mural. Light green and purple.
",,2005.0,2005,1999 Bond Program,,,Travis Building (Deco District),1800 Fredericksburg Rd ,78201.0,-98.52256246899992,29.46111294500008,,1,No,Outdoor - Display,Yes,,40000.0,40000.0,,,,,
161,1941.KEA.1.4,,Public Art - Interior,Yes,,Inventory line item was consolidated  in single project line item.,,Mary Aubrey,Keating,Untitled (Modern Times),Two Dimensional,Painting,Painting,,Building & Equipment Services,Four murals depict different eras of San Antonio's history. ,"The Murals were donated to the City In 1941, and were originally part of theTexas History Collection, displayed at the Main Library. Murals were restored by Dennis Baltuskonis.",1940.0,1941,Donation,,,International Center,203 S. St. Mary's St. ,78205.0,,,,1,RIO-3,Indoor - Display,Yes,,,25000.0,,,,,
162,1941.KEA.1.3,,Public Art - Interior,Yes,,Inventory line item was consolidated  in single project line item.,,Mary Aubrey,Keating,Untitled (Colonizations),Two Dimensional,Painting,Painting,,Building & Equipment Services,Four murals depict different eras of San Anotnios history. ,"The Murals were donated to the City In 1941, and were originally part of theTexas History Collection, displayed at the Main Library. Murals were restored by Dennis Baltuskonis.",1940.0,1941,Donation,,,International Center,203 S. St. Mary's St. ,78205.0,,,,1,RIO-3,Indoor - Display,Yes,,,25000.0,,,,,
163,1941.KEA.1.2,,Public Art - Interior,Yes,,Inventory line item was consolidated  in single project line item.,,Mary Aubrey,Keating,Untitled (Missionary Expeditions),Two Dimensional,Painting,Oil on canvas,,Building & Equipment Services,Four murals depict different eras of San Anotnios history. ,"The Murals were donated to the City In 1941, and were originally part of theTexas History Collection, displayed at the Main Library. Murals were restored by Dennis Baltuskonis.",1940.0,1941,Donation,,,International Center,203 S. St. Mary's St. ,78205.0,,,,1,RIO-3,Indoor - Display,Yes,,,25000.0,,,,,
164,2012.BRI.1.1,,Public Art - Exterior,,,Inventory line item was consolidated  in single project line item.,,Rolando,Briseno ,Puente de Rippling Shadows (Bridge of Rippling Shadows),Three Dimensional ,Sculpture,Steel,,Center City Development & Operations,"More than two dozen steel structures extending up from the railings with galvanized limbs supporting overlapping concentric discs of perforated aqua metal sheets, meant to invoke the feeling of rippilng water",Part of Museum Reach on the San Antonio River,2012.0,2012,Donation,San Antonio River Foundation,,Museum Reach ,528-552 Brooklyn Ave Bridge,78205.0,-98.485121,29.433402,,1,RIO-2 ,Outdoor - Display,Yes,,150000.0,75000.0,,,,,
165,2020.CAD.2,,CE - Interior,Yes,,Inventory line item was consolidated  in single project line item.,1048355,Katherine,Cadena,"Down on Leigh, 2",Two Dimensional,Painting,oil on canvas,"1 artwork, 2 canvases, 52' x 34'",Arts & Culture,,,2020.0,2020,Operating Funds,,,Plaza de Armas,115 Plaza de Armas,78205.0,-98.495663,29.424561,,1,"Main / Military Plaza 
RIO-7b
Indvidual Landmark
Downtown Design Area",Storage,Yes,,,2500.0,,,,,
166,2019.ZAV.1.2,,CE - Interior,Yes,,Inventory line item was consolidated  in single project line item.,1048203,Juan,Zavala Castro,Portrait of Eric Alva; Transcending of Experience Through the Importance of Life (seal),Two Dimensional,Works on Paper,Works on Paper,,Arts & Culture,,,2019.0,2019,Centro de Artes Cost Center,,,Centro de Artes ,101 S Santa Rosa Ave,78207.0,-98.49853,29.42534,,1,"Individual Landmark 
Downtown Design Area",Storage,Yes,,,2000.0,,,,,
167,2019.MAT.1.2,,CE - Interior,Yes,,Inventory line item was consolidated  in single project line item.,1048221,Eric,Mathis,Coming of Age (salute),Two Dimensional,Works on Paper,Graphite on Paper, h. 30 in. x w. 22 5/8 in.,Arts & Culture,,"Diptych
Acquired for City of Service Exhibition",2019.0,2019,Centro de Artes Cost Center,Artist ,,Centro de Artes ,101 S Santa Rosa Ave,78207.0,-98.49853,29.42534,,1,"Individual Landmark 
Downtown Design Area",Storage,Yes,,1200.0,1700.0,,,,,
168,2011.DAW.3,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,,,Sports Mural,Two Dimensional,Mural ,Acrylic,8' x 5',Department of Human Services,,,,,Donation,,,Dawson Community Center,2500 East Commerce,78203.0,-98.45444490299991,29.41939538300005,,2,No,,Yes,,,5000.0,,,,,
169,2011.DAW.2,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,,,Robert Dawson Mural,Two Dimensional,Mural ,Acrylic,8' x 5',Department of Human Services,,,,,Donation,,,Dawson Community Center,2500 East Commerce,78203.0,-98.45444490299991,29.41939538300005,,2,No,,Yes,,,5000.0,,,,,
170,2012. BRI.1.1,,Public Art - Exterior,Yes,Remove,Artwork was on invetory twice. Unsure if this should be insured for $75k or $200K,,Rolando ,Briseno,Puente de Rippling Shadows (Bridge of Rippling Shadows),Three Dimensional ,Shade Structure,Steel-aluminum alloy,,Center City Development & Operations,Redesigned metal railings/ shade structure along street bridges.,Part of Museum Reach on the San Antonio River,2012.0,2012,Donation,San Antonio River Foundation,,Museum Reach ,528-552 Brooklyn Ave.,78205.0,-98.4851213,29.433402,Exterior ,CW,Military Plaza,Outdoor - Display,Yes,,200000.0,200000.0,,,Yes,,
171,L.2019.SEB.36,,Loan,Yes,,Artwork loan ended ,,Enrique (Sebastiàn),Carbajal,Esfera Cuantica,Three Dimensional ,Sculpture,painted iron,106.2 x 70.8 x 70.8 in.,Arts & Culture,loan extended through 9/30/2021,2013,2019.0,Loan,On loan from Sebastiàn,,,Mission Marquee Plaza,"3100 Roosevelt Ave, San Antonio, TX",78214.0,,,,,,Outdoor - Display,Yes,,,85000.0,,,,,
172,L.2019.SEB.37,,Loan,Yes,,Artwork loan ended ,,Enrique (Sebastiàn),Carbajal,Esfera Cuantica Punto Cero,Three Dimensional ,Sculpture,painted iron,106.2 x 70.8 x 70.8 in.,Arts & Culture,loan extended through 9/30/2021,2013,2019.0,Loan,On loan from Sebastiàn,,,Mission Marquee Plaza,"3100 Roosevelt Ave, San Antonio, TX",78214.0,,,,,,Outdoor - Display,Yes,,,85000.0,,,,,
173,2008.HEN.1.6,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,James ,Hendricks,East Commerce Street Benches( Magott's Grocery Bench),Three Dimensional ,Bench,Steel and marble,,Public Works ,Artist-designed benches highlighting various characteristics of the city's East side.,,2008.0,2008,2003 Bond Program,,,E. Commerce St.,1312 E. Commerce St & Swiss,78205.0,-98.4756195,29.4209413,,2,No,Condition issues,Yes,,23500.0,6000.0,,COMMERCE STREET - RAILROAD TO S. PALMETTO ,Yes,,"Poznecki-Camarillo, Inc"
174,2008.HEN.1.5,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,James ,Hendricks,East Commerce Street Benches (Victorian Bench),Three Dimensional ,Bench,Steel and marble,,Public Works ,Artist-designed benches highlighting various characteristics of the city's East side.,,2008.0,2008,2003 Bond Program,,,E. Commerce St.,1598 E. Commerce St. & Olive,78205.0,-98.47186746,29.42010391,,2,No,Condition issues,Yes,,23500.0,6000.0,,COMMERCE STREET - RAILROAD TO S. PALMETTO ,Yes,,"Poznecki-Camarillo, Inc"
175,2008.HEN.1.4,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,James ,Hendricks,East Commerce Street Benches (Ballenger Newspaper Bench),Three Dimensional ,Bench,Steel and marble,,Public Works ,Artist-designed benches highlighting various characteristics of the city's East side.,,2008.0,2008,2003 Bond Program,,,E. Commerce St.,1501 E. Commerce St. & Hackberry,78205.0,-98.47310281,29.42057879,,2,No,Condition issues,Yes,,23500.0,6000.0,,COMMERCE STREET - RAILROAD TO S. PALMETTO ,Yes,,"Poznecki-Camarillo, Inc"
176,2008.HEN.1.3,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,James ,Hendricks,East Commerce Street Benches (Friedrich Bench),Three Dimensional ,Bench,Steel and marble,,Public Works ,Artist-designed benches highlighting various characteristics of the city's East side.,,2008.0,2008,2003 Bond Program,,,E. Commerce St.,1603 E. Commerce St. & Olive  ,78205.0,-98.47166211,29.42020563,,2,No,Condition issues,Yes,,23500.0,6000.0,,COMMERCE STREET - RAILROAD TO S. PALMETTO ,Yes,,"Poznecki-Camarillo, Inc"
177,2008.HEN.1.2,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,James ,Hendricks,East Commerce Street Benches (Chinese Bench),Three Dimensional ,Bench,Steel and marble,,Public Works ,Artist-designed benches highlighting various characteristics of the city's East side.,,2008.0,2008,2003 Bond Program,,,E. Commerce St.,1634 E. Commerce St. & Pine,78205.0,-98.47043041,29.41976931,,2,No,Condition issues,Yes,,23500.0,6000.0,,COMMERCE STREET - RAILROAD TO S. PALMETTO ,Yes,,"Poznecki-Camarillo, Inc"
178,2015.WIL.1.1-4,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Bernice,Williams,East Houston Bridge Finials,Three Dimensional ,Sculpture,Steel,,Public Works ,Four steel finials on the bridge rail with LED lighting. ,,2017.0,2007,2007 Bond Program,,,E. Houston Street Bridge,3400 E Houston,78219.0,-98.43235,29.42457,,2,No,Outdoor - Display,Yes,,30000.0,30000.0,,,Yes,,
179,2006.FIT.1.1-2,2006.FIT.1.1,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Bill,FitzGibbons,Light Channels,Three Dimensional ,Light Art,"LED, perforated aluminum, concrete",,Public Works ,LED lighting systems with slowly-changing color patterns onto surrounding columns and sidewalks. Nine aluminum-capped concrete columns bridge entrances painted sky-blue.,"Project partners include the Texas Department of Transportation, Bexar County, City of San Antonio and the St. Paul Square Association. 
1) IH37 Underpass at E Commerce 
2) IH37 Underpass at E Houston; -98.48151834, 29.42513681
",2005.0,2006,2003 Bond Program,St Paul Square Association,,IH37 Underpass at E Commerce St,IH37 @  Commerce Sts.,78205.0,-98.4805828019999,29.42220115500004,1,St Paul Square,,Outdoor - Display,Yes,,335000.0,250000.0,,IH37 underpass enhancements project ,yes,,Pape Dawson Inc.
180,2010.JEN.1.5,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Dale,Jenssen,Untitled (shower stall),Two Dimensional,Mural ,Ceramic tile,"14"" mosaic",Parks & Recreation,"Blue, orange and yellow mosaic tile surrouning the base of a free standing, cylindrical metal shower stall","Project includes 2 benches, 2 tile murals, 1 shower stall base, and one gate design",2010.0,2010,2007 Bond Program,,Parks ,Joe Ward Park Community Center,435 E. Sunshine ,78228.0,-98.55002764799991,29.472741107000047,7,No,Condition issues,Yes,,,19500.0,5000.0,,District 7 Pools bundle,yes,,Rialto Studio Landscape Architect
181,2010.JEN.1.3-4,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Dale,Jenssen,Untitled (mural 1 and 2),Two Dimensional,Mural ,Ceramic tile,,Parks & Recreation,"Square mosiac tile murals, with incorporated tile ""drawings"" created by local children. ","Project includes 2 benches, 2 tile murals, 1 shower stall base, and one gate design",2010.0,2010,2007 Bond Program,,Parks ,Joe Ward Park Community Center,435 E. Sunshine ,78228.0,-98.55002764799991,29.472741107000047,7,No,Condition issues,Yes,,,19500.0,7500.0,,District 7 Pools bundle,yes,,Rialto Studio Landscape Architect
182,2010.JEN.1.2,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Dale,Jenssen,Untitled (bench 2),Three Dimensional ,Bench,"ceramic mosaic  tile, concrete","3' 9"" x 8' 7.5 """,Parks & Recreation,"Concrete bench in the shape of a U, with blue, orange and yellow mosaic tile","Project includes 2 benches, 2 tile murals, 1 shower stall base, and one gate design",2010.0,2010,2007 Bond Program,,Parks ,Joe Ward Park Community Center,435 E. Sunshine ,78228.0,-98.55002764799991,29.472741107000047,7,No,Condition issues,Yes,,,19500.0,7500.0,,District 7 Pools bundle,yes,,Rialto Studio Landscape Architect
183,2010.JEN.1.1,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Dale,Jenssen,Untitled (bench 1),Three Dimensional ,Bench,"ceramic tile, concrete","3' x 7' 5""",Parks & Recreation,"Concrete bench in the shape of a stretched oval, with blue, orange and yellow mosaic tile","Project includes 2 benches, 2 tile murals, 1 shower stall base, and one gate design",2010.0,2010,2007 Bond Program,,Parks ,Joe Ward Park Community Center,435 E. Sunshine ,78228.0,-98.55002764799991,29.472741107000047,7,No,Condition issues,Yes,,,19500.0,7500.0,,District 7 Pools bundle,yes,,Rialto Studio Landscape Architect
184,2007.ALV.1.1-5,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Oscar ,Alvarado,Marney Plaza Outfall Mosaics,Three Dimensional ,Mosaic ,Mosaic ,,Public Works ,5 artist-designed and fabricated outdoor mosaic concrete benches that serve as pedestrian seating and amenities. The tile enhancements vary in shape and form and are intended to provide a cheerful and inviting pedestrian environment.,"total project budget is 50,000",2007.0,2007,2003 Bond Program,,,Marney Plaza (Canavan to Burcham),6100 Marney Plaza ,78221.0,-98.50530836,29.36960799,3,No,Condition issues,Yes,,,37500.0,7500.0,,Marney Plaza Outfall,yes,,Bender Wells & Clark
