ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,AUTHORX,CALLNO,CAPTION,CATBY,CATDATE,CLASSES,COLLECTION,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,CONTROLNO,COPYNO,CREATOR,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DISPVALUE,EARLYDATE,EDITION,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FLAGDATE,FLAGNOTES,FLAGREASON,GPARENT,HOMELOC,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,ISBN,ISSN,LANGUAGE,LATDEG,LATEDATE,LCCN,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,LONGDEG,MAINTCYCLE,MAINTDATE,MAINTNOTE,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OBJNAMES,OLDNO,OTHERNO,PARENT,PEOPLE,PHYSDESC,POLICYNO,PROVENANCE,PUBLISHER,PUBNOTES,PUBPLACE,RECAS,RECDATE,RECFROM,RELNOTES,SERIES,SERIESX,SITE,SITENO,SITESADDED,SPINELBL,STATUS,STATUSBY,STATUSDATE,STERMS,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TITLEX,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE
OHM B1822,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1822,book,,,,,,Need to Pick Subcategory,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,stafford,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:19:00,Unknown,/ /,.F.
OHM B1852,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"jourdain, m.",,0,0,,1912,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1852,book,,,,,,Need to Pick Subcategory,,202 p,,,dutton,,new york,,,,,,,,,,,Shelf,,/ /,,emboidery,,,/ /,,,,,history of english secular embroidery,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:21:00,Unknown,/ /,.F.
OHM B1853,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"groome, francis h,",,0,0,,mdccxcv,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1853,book,,,,,,Need to Pick Subcategory,,132 p,,,wm blackwood and sons,,london,,,,,,,,,,,Shelf,,/ /,,novel,,,/ /,,,,,two suffolk friends,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:24:00,Unknown,/ /,.F.
OHM B1850,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"howells, w d",,0,0,,mdccxcv 1901,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1850,book,,,,,,Need to Pick Subcategory,,238 p,,,harper,,new york,,,,,vol 1,,,,,,Shelf,,/ /,,literary criticism,,,/ /,,,,,heroines of fiction,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:26:00,Unknown,/ /,.F.
OHM B1851,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"howells, w d",,0,0,,mdccxcv 1901,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1851,book,,,,,,Need to Pick Subcategory,,273 p,,,harper,,new york,,,,,vol 2,,,,,,Shelf,,/ /,,literary criticism,,,/ /,,,,,heroines of fiction,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:26:00,Unknown,/ /,.F.
OHM B1854,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"mitchell, donald g",,0,0,,1899,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1854,book,,,,,,Need to Pick Subcategory,,412 p,,,scribner,,new york,,,,,leather stockings,,,,,,Shelf,,/ /,,literary criticism,,,/ /,,,,,american land and letters,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:28:00,Unknown,/ /,.F.
OHM B1855,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"mitchell, donald g",,0,0,,1899,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1855,book,,,,,,Need to Pick Subcategory,,412 p,,,scribner,,new york,,,,,cotton mather,,,,,,Shelf,,/ /,,literary criticism,,,/ /,,,,,american land and letters,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:29:00,Unknown,/ /,.F.
OHM B1860,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"carlyle, thomas",,0,0,,1913,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1860,book,,,,,,Need to Pick Subcategory,,445 p,,,scribner,,new york,,,,,vol 1,,,,,,Shelf,,/ /,,biography,,,/ /,,,,,letters and memorials of jane welsh carlyle,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:31:00,Unknown,/ /,.F.
OHM B1861,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"carlyle, thomas",,0,0,,1913,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1861,book,,,,,,Need to Pick Subcategory,,405 p,,,scribner,,new york,,,,,vol 2,,,,,,Shelf,,/ /,,biography,,,/ /,,,,,letters and memorials of jane welsh carlyle,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:31:00,Unknown,/ /,.F.
OHM B1905,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"fitzwilliam, ada w and hands, a f morris",,0,0,,1913,1913,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case by driveway,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1905,book,,,,,,Need to Pick Subcategory,,56 p,,,dutton,,new york,,,,,,,,,,,Shelf,,/ /,,embroidery,,,/ /,,,,,jacobean emroidery,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:34:00,Unknown,/ /,.F.
