ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,CAPTION,CATBY,CATDATE,CLASSES,COLLECTION,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,COPYRIGHT,CREATOR,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DIMNOTES,DISPVALUE,EARLYDATE,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FILMSIZE,FLAGDATE,FLAGNOTES,FLAGREASON,FRAME,FRAMENO,GPARENT,HOMELOC,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,LATDEG,LATEDATE,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,LONGDEG,MAINTCYCLE,MAINTDATE,MAINTNOTE,MEDIUM,NEGLOC,NEGNO,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OBJNAMES,OLDNO,ORIGCOPY,OTHERNO,OUTDATE,PARENT,PEOPLE,PLACE,POLICYNO,PRINTSIZE,PROCESS,PROVENANCE,PUBNOTES,RECAS,RECDATE,RECFROM,RELNOTES,SITE,SITENO,SLIDENO,STATUS,STATUSBY,STATUSDATE,STERMS,STUDIO,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE
2022.41,0,,,Osborndale Eric Roxanne Fobes,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Osborndale Eric Roxanne Fobes 4/17/54,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.41,"Print, Photographic",,,,,,ph-p-410,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 15:22:00,Unknown,/ /,.F.
2022.614,0,,,Back of photo,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.614,"Print, Photographic",,,,,,ph-p-614,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 14:41:00,Unknown,/ /,.F.
2022.663,0,,,Holstein Bull,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,1,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.663,"Print, Photographic",,,,,,ph-p-663,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 15:30:00,Unknown,/ /,.F.
,0,,,Back of photo,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Osborndale Royal Rag Apple,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.432,"Print, Photographic",,,,,,ph-p-432,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 14:31:00,Unknown,/ /,.F.
,0,,,Bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.43,"Print, Photographic",,,,,,ph-p-430,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 14:43:00,Unknown,/ /,.F.
,0,,,Bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.574,"Print, Photographic",,,,,,ph-p-574,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-09-16 15:18:00,Unknown,/ /,.F.
,0,,,Bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Card of Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.408,"Print, Photographic",,,,,,ph-p-408,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 14:51:00,Unknown,/ /,.F.
,0,,,Back of photo Ph-p-532,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Head of bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.532,"Print, Photographic",,,,,,ph-p-532,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 12:59:00,Unknown,/ /,.F.
,0,,,Bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.555,"Print, Photographic",,,,,,ph-p-555,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:01:00,Unknown,/ /,.F.
,0,,,Bull with man,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull with man,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.707,"Print, Photographic",,,,,,ph-p-707,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:05:00,Unknown,/ /,.F.
